INFRACCIONES,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
    10. ORDEN PÚBLICO,27594.0,30272.0,21877.0,20121.0,19591.0,18867.0,23160.0,29466.0,31489.0,33582.0,36317.0,33767.0,
    11. LEGISLACIÓN ESPECIAL,343.0,325.0,306.0,209.0,165.0,143.0,192.0,185.0,205.0,237.0,285.0,234.0,
    12. OTRAS INFRACCIONES PENALES,10341.0,9665.0,9970.0,9725.0,9772.0,10394.0,9702.0,7864.0,7129.0,6655.0,6592.0,6785.0,
    TOTAL INFRACCIONES PENALES,1957719.0,1766779.0,2199475.0,2131118.0,2045784.0,2009690.0,2036815.0,2092040.0,2172133.0,2268867.0,2285525.0,2297484.0,
Araba/Álava,
    1. CONTRA LAS PERSONAS,1027.0,904.0,927.0,876.0,806.0,795.0,1329.0,1926.0,1686.0,1884.0,1910.0,1825.0,
    1.1.-Homicidios dolosos/asesinatos,3.0,3.0,3.0,8.0,6.0,4.0,8.0,1.0,9.0,2.0,6.0,4.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,
    1.2.-Lesiones,587.0,491.0,600.0,589.0,552.0,568.0,593.0,646.0,607.0,710.0,830.0,775.0,
    1.3.-Malos tratos ámbito familiar,384.0,376.0,286.0,239.0,192.0,149.0,157.0,165.0,121.0,164.0,164.0,135.0,
    1.4.-Otros contra las personas,53.0,34.0,38.0,40.0,56.0,74.0,571.0,1114.0,949.0,1008.0,910.0,911.0,
    2. CONTRA LA LIBERTAD,1115.0,1071.0,1101.0,1173.0,1214.0,1169.0,897.0,597.0,691.0,672.0,621.0,638.0,
    2.1.-Malos tratos habituales en el ámbito familiar,208.0,286.0,356.0,391.0,460.0,450.0,431.0,437.0,513.0,505.0,449.0,425.0,
    2.2.-Otros contra la libertad,907.0,785.0,745.0,782.0,754.0,719.0,466.0,160.0,178.0,167.0,172.0,213.0,
    3. LIBERTAD SEXUAL,93.0,95.0,82.0,118.0,84.0,49.0,51.0,63.0,53.0,53.0,72.0,64.0,
    3.1.-Agresión sexual,5.0,13.0,9.0,14.0,12.0,9.0,7.0,10.0,10.0,17.0,32.0,17.0,
    3.2.-Agresión sexual con penetración,19.0,15.0,7.0,11.0,5.0,2.0,5.0,8.0,15.0,9.0,10.0,8.0,
    3.3.-Corrupción de menores o incapacitados,0.0,0.0,1.0,5.0,7.0,5.0,3.0,7.0,0.0,6.0,1.0,1.0,
    3.4.-Pornografía de menores,4.0,4.0,3.0,6.0,5.0,6.0,5.0,7.0,3.0,1.0,5.0,10.0,
