INFRACCIONES,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
    2.2.-Otros contra la libertad,742.0,693.0,678.0,562.0,562.0,536.0,311.0,104.0,100.0,100.0,91.0,79.0,
    3. LIBERTAD SEXUAL,86.0,62.0,68.0,68.0,56.0,49.0,55.0,53.0,49.0,49.0,66.0,49.0,
    3.1.-Agresión sexual,13.0,9.0,5.0,5.0,10.0,9.0,6.0,10.0,6.0,17.0,13.0,12.0,
    3.2.-Agresión sexual con penetración,4.0,4.0,5.0,6.0,3.0,5.0,6.0,2.0,6.0,7.0,9.0,8.0,
    3.3.-Corrupción de menores o incapacitados,5.0,2.0,4.0,1.0,2.0,3.0,6.0,6.0,1.0,1.0,1.0,1.0,
    3.4.-Pornografía de menores,2.0,1.0,4.0,4.0,6.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,
    3.5.-Otros contra la libertad e indemnidad sexual,62.0,46.0,50.0,52.0,35.0,31.0,34.0,31.0,33.0,23.0,40.0,26.0,
    4. RELACIONES FAMILIARES,57.0,38.0,59.0,27.0,28.0,23.0,32.0,34.0,27.0,19.0,20.0,12.0,
    5. PATRIMONIO,5978.0,5177.0,5576.0,5652.0,4992.0,5248.0,5670.0,5625.0,6101.0,6337.0,6035.0,6223.0,
    5.1.-Hurtos,1443.0,1165.0,1755.0,1941.0,2011.0,2121.0,2276.0,2536.0,2892.0,2859.0,2612.0,2736.0,
    5.2.-Robos con fuerza en las cosas,849.0,778.0,882.0,1070.0,1092.0,1280.0,1319.0,1192.0,1497.0,1676.0,1556.0,1513.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,142.0,118.0,184.0,196.0,182.0,203.0,173.0,176.0,221.0,321.0,287.0,181.0,
    5.2.2.-Robos con fuerza en viviendas,247.0,239.0,218.0,281.0,310.0,373.0,386.0,366.0,418.0,437.0,305.0,368.0,
    5.2.3.-Robos con fuerza en establecimientos,143.0,162.0,181.0,257.0,240.0,278.0,271.0,227.0,313.0,317.0,353.0,355.0,
    5.3.-Robos con violencia o intimidación,92.0,56.0,68.0,73.0,53.0,82.0,70.0,65.0,93.0,88.0,82.0,98.0,
    5.3.1.-Robos con violencia en vía pública,59.0,25.0,41.0,40.0,28.0,41.0,48.0,40.0,53.0,54.0,37.0,59.0,
    5.3.2.-Robos con violencia en viviendas,8.0,10.0,8.0,9.0,4.0,6.0,9.0,6.0,12.0,10.0,7.0,5.0,
    5.3.3.-Robos con violencia en establecimientos,13.0,13.0,15.0,11.0,10.0,18.0,7.0,12.0,11.0,10.0,20.0,26.0,
    5.4.-Sustracción de vehículos,36.0,38.0,30.0,37.0,88.0,98.0,85.0,101.0,132.0,122.0,155.0,134.0,
    5.5.-Estafas,2004.0,1911.0,1333.0,1049.0,464.0,476.0,555.0,413.0,267.0,307.0,294.0,240.0,
    5.5.1.-Estafas informáticas,1266.0,1232.0,901.0,665.0,216.0,227.0,210.0,174.0,81.0,113.0,83.0,66.0,
    5.6.-Daños,1275.0,1020.0,1275.0,1209.0,1107.0,1046.0,1179.0,1120.0,1037.0,1184.0,1250.0,1417.0,
    5.7.-Contra la propiedad intelectual/industrial,5.0,6.0,12.0,31.0,13.0,14.0,10.0,6.0,16.0,7.0,15.0,22.0,
    5.8.-Blanqueo de capitales,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
    5.9.-Otros contra el patrimonio,274.0,202.0,220.0,241.0,162.0,130.0,175.0,191.0,167.0,94.0,71.0,63.0,
    6. SEGURIDAD COLECTIVA,536.0,406.0,490.0,485.0,384.0,384.0,363.0,461.0,486.0,568.0,568.0,523.0,
    6.1.-Tráfico de drogas,118.0,101.0,105.0,102.0,74.0,83.0,61.0,122.0,110.0,93.0,112.0,62.0,
    6.2.-Contra la seguridad vial,391.0,289.0,341.0,354.0,274.0,279.0,268.0,310.0,346.0,458.0,445.0,433.0,
    6.3.-Otros contra la seguridad colectiva,27.0,16.0,44.0,29.0,36.0,22.0,34.0,29.0,30.0,17.0,11.0,28.0,
    7. FALSEDADES,201.0,138.0,99.0,98.0,69.0,75.0,65.0,64.0,49.0,46.0,62.0,55.0,
    8. ADMÓN. PÚBLICA,4.0,1.0,4.0,0.0,1.0,7.0,1.0,0.0,3.0,2.0,1.0,0.0,
    9. ADMÓN. JUSTICIA,244.0,249.0,240.0,211.0,212.0,197.0,168.0,153.0,194.0,155.0,187.0,186.0,
    10. ORDEN PÚBLICO,98.0,153.0,105.0,69.0,95.0,87.0,105.0,145.0,142.0,177.0,170.0,177.0,
    11. LEGISLACIÓN ESPECIAL,2.0,0.0,2.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
    12. OTRAS INFRACCIONES PENALES,119.0,144.0,132.0,133.0,145.0,103.0,61.0,52.0,55.0,28.0,41.0,51.0,
    TOTAL INFRACCIONES PENALES,9184.0,8014.0,8629.0,8404.0,7662.0,7927.0,8345.0,8463.0,8863.0,9272.0,9107.0,9316.0,
Cádiz,
    1. CONTRA LAS PERSONAS,5909.0,5350.0,6057.0,5880.0,5824.0,5729.0,8382.0,10686.0,10262.0,10789.0,11433.0,11482.0,
    1.1.-Homicidios dolosos/asesinatos,41.0,53.0,41.0,51.0,55.0,44.0,38.0,33.0,33.0,24.0,41.0,30.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,7.0,9.0,11.0,6.0,6.0,10.0,10.0,14.0,8.0,8.0,12.0,13.0,
    1.2.-Lesiones,2981.0,2691.0,3313.0,3275.0,3305.0,3206.0,3483.0,3486.0,3502.0,3556.0,3807.0,3926.0,
    1.3.-Malos tratos ámbito familiar,2761.0,2490.0,2537.0,2406.0,2366.0,2387.0,2267.0,2268.0,2172.0,2227.0,2141.0,2048.0,
    1.4.-Otros contra las personas,126.0,116.0,166.0,148.0,98.0,92.0,2594.0,4899.0,4555.0,4982.0,5444.0,5478.0,
    2. CONTRA LA LIBERTAD,4151.0,4121.0,4243.0,4084.0,4065.0,3875.0,2564.0,947.0,952.0,948.0,1036.0,1052.0,
    2.1.-Malos tratos habituales en el ámbito familiar,269.0,298.0,290.0,249.0,290.0,237.0,284.0,279.0,344.0,354.0,382.0,406.0,
    2.2.-Otros contra la libertad,3882.0,3823.0,3953.0,3835.0,3775.0,3638.0,2280.0,668.0,608.0,594.0,654.0,646.0,
    3. LIBERTAD SEXUAL,418.0,299.0,360.0,336.0,287.0,300.0,243.0,240.0,223.0,235.0,244.0,253.0,
    3.1.-Agresión sexual,62.0,47.0,59.0,43.0,57.0,44.0,43.0,51.0,48.0,49.0,60.0,48.0,
    3.2.-Agresión sexual con penetración,42.0,35.0,38.0,32.0,22.0,31.0,18.0,31.0,25.0,28.0,33.0,34.0,
    3.3.-Corrupción de menores o incapacitados,16.0,14.0,8.0,14.0,14.0,9.0,18.0,22.0,8.0,6.0,4.0,7.0,
    3.4.-Pornografía de menores,24.0,21.0,23.0,18.0,28.0,24.0,23.0,15.0,11.0,14.0,20.0,21.0,
    3.5.-Otros contra la libertad e indemnidad sexual,274.0,182.0,232.0,229.0,166.0,192.0,141.0,121.0,131.0,138.0,127.0,143.0,
    4. RELACIONES FAMILIARES,175.0,185.0,198.0,177.0,212.0,212.0,242.0,181.0,162.0,221.0,248.0,283.0,
    5. PATRIMONIO,29888.0,26769.0,33707.0,34915.0,34793.0,35035.0,37143.0,37845.0,39518.0,41859.0,41262.0,42023.0,
    5.1.-Hurtos,9614.0,8276.0,12579.0,13282.0,15403.0,16280.0,17084.0,17763.0,18840.0,19687.0,19313.0,19359.0,
    5.2.-Robos con fuerza en las cosas,4327.0,4129.0,5225.0,6350.0,6393.0,6317.0,7077.0,7610.0,8389.0,9074.0,8805.0,9372.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1604.0,1587.0,2235.0,2515.0,2365.0,2416.0,2512.0,2385.0,2799.0,3302.0,3097.0,2761.0,
    5.2.2.-Robos con fuerza en viviendas,1306.0,1269.0,1466.0,1824.0,2086.0,2109.0,2339.0,2839.0,3077.0,3029.0,2464.0,2360.0,
    5.2.3.-Robos con fuerza en establecimientos,712.0,631.0,747.0,1049.0,1039.0,908.0,1120.0,1146.0,1177.0,1240.0,1206.0,1519.0,
    5.3.-Robos con violencia o intimidación,728.0,602.0,831.0,795.0,871.0,889.0,969.0,988.0,1140.0,1121.0,1199.0,1117.0,
    5.3.1.-Robos con violencia en vía pública,470.0,369.0,525.0,472.0,573.0,583.0,650.0,688.0,802.0,766.0,767.0,791.0,
    5.3.2.-Robos con violencia en viviendas,73.0,62.0,81.0,80.0,74.0,79.0,67.0,72.0,74.0,70.0,76.0,63.0,
    5.3.3.-Robos con violencia en establecimientos,129.0,124.0,136.0,151.0,132.0,134.0,136.0,131.0,162.0,152.0,139.0,170.0,
    5.4.-Sustracción de vehículos,956.0,963.0,1309.0,1542.0,1580.0,1681.0,1804.0,1629.0,1516.0,1963.0,2120.0,2414.0,
    5.5.-Estafas,7597.0,6703.0,6220.0,5712.0,3621.0,3251.0,2965.0,2561.0,2207.0,2286.0,2133.0,1939.0,
    5.5.1.-Estafas informáticas,6074.0,5158.0,3426.0,2471.0,1423.0,1182.0,946.0,847.0,648.0,738.0,581.0,583.0,
    5.6.-Daños,5032.0,4612.0,5657.0,5559.0,5605.0,5551.0,5909.0,6015.0,6127.0,6638.0,6882.0,7139.0,
    5.7.-Contra la propiedad intelectual/industrial,42.0,41.0,90.0,100.0,88.0,138.0,158.0,208.0,275.0,339.0,157.0,102.0,
    5.8.-Blanqueo de capitales,27.0,17.0,34.0,23.0,16.0,23.0,18.0,35.0,8.0,10.0,7.0,4.0,
    5.9.-Otros contra el patrimonio,1565.0,1426.0,1762.0,1552.0,1216.0,905.0,1159.0,1036.0,1016.0,741.0,646.0,577.0,
    6. SEGURIDAD COLECTIVA,2428.0,2266.0,2554.0,2195.0,2054.0,1954.0,2171.0,2462.0,2443.0,2836.0,3114.0,2845.0,
    6.1.-Tráfico de drogas,1012.0,1086.0,1130.0,788.0,818.0,750.0,929.0,1105.0,1021.0,1241.0,1172.0,958.0,
    6.2.-Contra la seguridad vial,1272.0,1076.0,1338.0,1275.0,1141.0,1108.0,1153.0,1293.0,1365.0,1503.0,1881.0,1791.0,
    6.3.-Otros contra la seguridad colectiva,144.0,104.0,86.0,132.0,95.0,96.0,89.0,64.0,57.0,92.0,61.0,96.0,
    7. FALSEDADES,910.0,772.0,663.0,632.0,627.0,604.0,702.0,583.0,553.0,554.0,417.0,341.0,
    8. ADMÓN. PÚBLICA,12.0,15.0,17.0,10.0,16.0,21.0,18.0,130.0,23.0,9.0,6.0,16.0,
    9. ADMÓN. JUSTICIA,1271.0,1236.0,1340.0,1142.0,990.0,1019.0,1001.0,1001.0,1018.0,1099.0,1118.0,1105.0,
    10. ORDEN PÚBLICO,1044.0,1273.0,950.0,900.0,722.0,700.0,834.0,1072.0,1131.0,1072.0,1135.0,1116.0,
    11. LEGISLACIÓN ESPECIAL,137.0,114.0,104.0,84.0,56.0,50.0,36.0,28.0,53.0,48.0,75.0,58.0,
    12. OTRAS INFRACCIONES PENALES,455.0,334.0,470.0,458.0,528.0,501.0,455.0,288.0,281.0,193.0,189.0,207.0,
    TOTAL INFRACCIONES PENALES,46798.0,42734.0,50663.0,50813.0,50174.0,50000.0,53791.0,55463.0,56619.0,59863.0,60277.0,60781.0,
Castellón/Castelló,
    1. CONTRA LAS PERSONAS,2409.0,2017.0,2428.0,2206.0,2047.0,1977.0,2723.0,3401.0,3145.0,3378.0,3242.0,3438.0,
    1.1.-Homicidios dolosos/asesinatos,7.0,14.0,10.0,12.0,9.0,10.0,7.0,16.0,11.0,9.0,12.0,12.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,5.0,2.0,6.0,5.0,1.0,3.0,5.0,5.0,3.0,6.0,6.0,
    1.2.-Lesiones,1327.0,1068.0,1502.0,1327.0,1260.0,1262.0,1312.0,1440.0,1332.0,1304.0,1313.0,1423.0,
    1.3.-Malos tratos ámbito familiar,1007.0,907.0,881.0,831.0,736.0,695.0,737.0,689.0,656.0,681.0,635.0,659.0,
    1.4.-Otros contra las personas,68.0,28.0,35.0,36.0,42.0,10.0,667.0,1256.0,1146.0,1384.0,1282.0,1344.0,
    2. CONTRA LA LIBERTAD,1750.0,1497.0,1541.0,1454.0,1349.0,1212.0,875.0,465.0,540.0,592.0,585.0,645.0,
    2.1.-Malos tratos habituales en el ámbito familiar,237.0,174.0,172.0,176.0,168.0,154.0,182.0,161.0,168.0,171.0,206.0,228.0,
    2.2.-Otros contra la libertad,1513.0,1323.0,1369.0,1278.0,1181.0,1058.0,693.0,304.0,372.0,421.0,379.0,417.0,
    3. LIBERTAD SEXUAL,254.0,166.0,163.0,181.0,177.0,192.0,105.0,141.0,124.0,138.0,105.0,120.0,
    3.1.-Agresión sexual,28.0,21.0,28.0,26.0,26.0,21.0,20.0,15.0,19.0,22.0,20.0,21.0,
    3.2.-Agresión sexual con penetración,13.0,13.0,10.0,11.0,15.0,6.0,9.0,13.0,12.0,10.0,13.0,23.0,
    3.3.-Corrupción de menores o incapacitados,16.0,5.0,2.0,6.0,6.0,4.0,4.0,18.0,7.0,12.0,4.0,4.0,
    3.4.-Pornografía de menores,13.0,11.0,7.0,11.0,6.0,9.0,10.0,4.0,8.0,8.0,8.0,14.0,
    3.5.-Otros contra la libertad e indemnidad sexual,184.0,116.0,116.0,127.0,124.0,152.0,62.0,91.0,78.0,86.0,60.0,58.0,
    4. RELACIONES FAMILIARES,75.0,73.0,66.0,77.0,73.0,79.0,107.0,93.0,73.0,72.0,72.0,42.0,
    5. PATRIMONIO,15427.0,12710.0,16934.0,18119.0,17085.0,18616.0,19134.0,20459.0,21731.0,22797.0,22528.0,22555.0,
    5.1.-Hurtos,4814.0,3597.0,6066.0,6513.0,6899.0,7262.0,7377.0,7970.0,8399.0,8877.0,8578.0,8303.0,
    5.2.-Robos con fuerza en las cosas,3203.0,2535.0,3813.0,4615.0,4413.0,5773.0,6034.0,6622.0,7211.0,7482.0,7675.0,7716.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,727.0,642.0,805.0,963.0,1048.0,1860.0,1334.0,1424.0,1799.0,1942.0,2144.0,1055.0,
    5.2.2.-Robos con fuerza en viviendas,1517.0,1125.0,1718.0,2185.0,2107.0,2454.0,2933.0,3144.0,3112.0,3029.0,2660.0,2888.0,
    5.2.3.-Robos con fuerza en establecimientos,352.0,348.0,549.0,653.0,520.0,556.0,605.0,773.0,607.0,743.0,926.0,951.0,
    5.3.-Robos con violencia o intimidación,303.0,230.0,355.0,353.0,409.0,480.0,426.0,483.0,680.0,721.0,676.0,733.0,
    5.3.1.-Robos con violencia en vía pública,131.0,108.0,197.0,173.0,190.0,259.0,227.0,268.0,385.0,435.0,271.0,434.0,
    5.3.2.-Robos con violencia en viviendas,49.0,34.0,36.0,38.0,37.0,27.0,52.0,50.0,74.0,60.0,61.0,60.0,
    5.3.3.-Robos con violencia en establecimientos,56.0,41.0,44.0,54.0,84.0,76.0,54.0,61.0,98.0,105.0,117.0,153.0,
    5.4.-Sustracción de vehículos,184.0,124.0,186.0,187.0,203.0,300.0,360.0,389.0,430.0,519.0,611.0,768.0,
    5.5.-Estafas,3600.0,3336.0,2963.0,2849.0,1931.0,1490.0,1341.0,1364.0,1169.0,1195.0,916.0,848.0,
    5.5.1.-Estafas informáticas,2211.0,1869.0,1333.0,1166.0,733.0,587.0,521.0,491.0,360.0,369.0,232.0,234.0,
    5.6.-Daños,2677.0,2313.0,2850.0,2986.0,2719.0,2833.0,3121.0,3093.0,3437.0,3658.0,3786.0,3845.0,
    5.7.-Contra la propiedad intelectual/industrial,9.0,11.0,20.0,34.0,24.0,30.0,24.0,23.0,25.0,19.0,25.0,52.0,
    5.8.-Blanqueo de capitales,7.0,8.0,9.0,6.0,3.0,1.0,4.0,11.0,5.0,1.0,0.0,1.0,
    5.9.-Otros contra el patrimonio,630.0,556.0,672.0,576.0,484.0,447.0,447.0,504.0,375.0,325.0,261.0,289.0,
    6. SEGURIDAD COLECTIVA,912.0,715.0,867.0,891.0,846.0,816.0,1005.0,1045.0,1146.0,920.0,965.0,880.0,
    6.1.-Tráfico de drogas,144.0,140.0,160.0,141.0,145.0,112.0,119.0,124.0,156.0,120.0,110.0,164.0,
    6.2.-Contra la seguridad vial,747.0,548.0,667.0,711.0,650.0,659.0,829.0,854.0,931.0,744.0,808.0,688.0,
    6.3.-Otros contra la seguridad colectiva,21.0,27.0,40.0,39.0,51.0,45.0,57.0,67.0,59.0,56.0,47.0,28.0,
    7. FALSEDADES,389.0,287.0,321.0,291.0,330.0,264.0,206.0,337.0,215.0,197.0,206.0,229.0,
    8. ADMÓN. PÚBLICA,7.0,6.0,3.0,5.0,9.0,9.0,7.0,1.0,3.0,3.0,4.0,2.0,
    9. ADMÓN. JUSTICIA,450.0,410.0,401.0,410.0,416.0,349.0,449.0,352.0,343.0,308.0,320.0,365.0,
    10. ORDEN PÚBLICO,361.0,357.0,293.0,245.0,235.0,247.0,323.0,397.0,392.0,378.0,464.0,415.0,
    11. LEGISLACIÓN ESPECIAL,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,9.0,
    12. OTRAS INFRACCIONES PENALES,146.0,135.0,166.0,150.0,180.0,163.0,173.0,150.0,243.0,125.0,116.0,129.0,
    TOTAL INFRACCIONES PENALES,22183.0,18373.0,23184.0,24030.0,22748.0,23924.0,25108.0,26843.0,27956.0,28908.0,28610.0,28829.0,
Ciudad Real,
    1. CONTRA LAS PERSONAS,1585.0,1282.0,1551.0,1428.0,1457.0,1494.0,2149.0,2804.0,2768.0,2966.0,2996.0,3242.0,
    1.1.-Homicidios dolosos/asesinatos,11.0,8.0,5.0,8.0,10.0,15.0,10.0,8.0,14.0,5.0,9.0,11.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,2.0,4.0,4.0,0.0,6.0,1.0,5.0,2.0,7.0,3.0,4.0,3.0,
    1.2.-Lesiones,802.0,626.0,815.0,766.0,819.0,842.0,871.0,923.0,957.0,1054.0,1115.0,1139.0,
    1.3.-Malos tratos ámbito familiar,734.0,622.0,716.0,636.0,618.0,628.0,620.0,615.0,619.0,612.0,643.0,712.0,
    1.4.-Otros contra las personas,38.0,26.0,15.0,18.0,10.0,9.0,648.0,1258.0,1178.0,1295.0,1229.0,1380.0,
    2. CONTRA LA LIBERTAD,1046.0,873.0,926.0,927.0,965.0,920.0,625.0,308.0,299.0,341.0,321.0,259.0,
    2.1.-Malos tratos habituales en el ámbito familiar,164.0,121.0,128.0,152.0,125.0,127.0,128.0,128.0,139.0,174.0,157.0,115.0,
    2.2.-Otros contra la libertad,882.0,752.0,798.0,775.0,840.0,793.0,497.0,180.0,160.0,167.0,164.0,144.0,
    3. LIBERTAD SEXUAL,108.0,104.0,106.0,96.0,68.0,78.0,77.0,62.0,67.0,69.0,83.0,72.0,
    3.1.-Agresión sexual,12.0,7.0,16.0,19.0,15.0,11.0,14.0,8.0,8.0,19.0,24.0,21.0,
    3.2.-Agresión sexual con penetración,13.0,7.0,12.0,6.0,7.0,8.0,2.0,4.0,10.0,8.0,13.0,9.0,
    3.3.-Corrupción de menores o incapacitados,8.0,4.0,4.0,3.0,7.0,8.0,7.0,6.0,2.0,4.0,4.0,2.0,
    3.4.-Pornografía de menores,4.0,5.0,5.0,5.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,5.0,
    3.5.-Otros contra la libertad e indemnidad sexual,71.0,81.0,69.0,63.0,35.0,49.0,53.0,43.0,45.0,34.0,38.0,35.0,
    4. RELACIONES FAMILIARES,65.0,54.0,77.0,51.0,68.0,56.0,66.0,109.0,97.0,83.0,41.0,42.0,
    5. PATRIMONIO,8962.0,7859.0,8787.0,8384.0,8391.0,8721.0,9811.0,9348.0,10230.0,10708.0,10602.0,10497.0,
    5.1.-Hurtos,2317.0,1959.0,2635.0,2809.0,3222.0,3333.0,3771.0,3400.0,3834.0,4038.0,4034.0,3782.0,
    5.2.-Robos con fuerza en las cosas,1648.0,1442.0,1831.0,1962.0,2134.0,2403.0,2690.0,2651.0,3177.0,3271.0,3226.0,3400.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,285.0,249.0,388.0,427.0,461.0,481.0,510.0,392.0,551.0,479.0,566.0,474.0,
    5.2.2.-Robos con fuerza en viviendas,571.0,466.0,550.0,572.0,615.0,704.0,786.0,778.0,881.0,1063.0,841.0,937.0,
    5.2.3.-Robos con fuerza en establecimientos,247.0,232.0,315.0,341.0,423.0,467.0,395.0,404.0,418.0,453.0,483.0,610.0,
    5.3.-Robos con violencia o intimidación,144.0,157.0,123.0,128.0,147.0,146.0,183.0,181.0,266.0,304.0,268.0,258.0,
    5.3.1.-Robos con violencia en vía pública,90.0,70.0,67.0,66.0,87.0,78.0,109.0,108.0,155.0,176.0,169.0,175.0,
    5.3.2.-Robos con violencia en viviendas,14.0,18.0,11.0,18.0,13.0,19.0,20.0,23.0,30.0,33.0,28.0,21.0,
    5.3.3.-Robos con violencia en establecimientos,30.0,57.0,29.0,27.0,32.0,35.0,30.0,27.0,52.0,69.0,46.0,41.0,
    5.4.-Sustracción de vehículos,67.0,65.0,73.0,62.0,133.0,192.0,135.0,146.0,180.0,219.0,271.0,335.0,
    5.5.-Estafas,3014.0,2779.0,2273.0,1737.0,962.0,946.0,1025.0,831.0,744.0,903.0,740.0,582.0,
    5.5.1.-Estafas informáticas,1874.0,1494.0,1069.0,804.0,442.0,362.0,436.0,330.0,254.0,290.0,210.0,184.0,
    5.6.-Daños,1413.0,1135.0,1486.0,1345.0,1475.0,1386.0,1657.0,1737.0,1775.0,1791.0,1892.0,1966.0,
    5.7.-Contra la propiedad intelectual/industrial,3.0,2.0,7.0,18.0,4.0,9.0,4.0,11.0,12.0,8.0,15.0,22.0,
    5.8.-Blanqueo de capitales,7.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,
    5.9.-Otros contra el patrimonio,349.0,316.0,355.0,322.0,310.0,305.0,345.0,390.0,240.0,174.0,153.0,149.0,
    6. SEGURIDAD COLECTIVA,680.0,617.0,741.0,719.0,649.0,688.0,696.0,744.0,841.0,883.0,801.0,793.0,
    6.1.-Tráfico de drogas,101.0,106.0,72.0,110.0,96.0,112.0,95.0,139.0,143.0,108.0,104.0,95.0,
    6.2.-Contra la seguridad vial,547.0,486.0,647.0,602.0,535.0,565.0,575.0,587.0,676.0,742.0,677.0,677.0,
    6.3.-Otros contra la seguridad colectiva,32.0,25.0,22.0,7.0,18.0,11.0,26.0,18.0,22.0,33.0,20.0,21.0,
    7. FALSEDADES,274.0,245.0,209.0,164.0,194.0,244.0,190.0,172.0,132.0,141.0,164.0,112.0,
    8. ADMÓN. PÚBLICA,16.0,2.0,1.0,1.0,5.0,3.0,4.0,3.0,2.0,0.0,0.0,1.0,
    9. ADMÓN. JUSTICIA,284.0,280.0,298.0,294.0,236.0,267.0,342.0,326.0,275.0,291.0,281.0,304.0,
    10. ORDEN PÚBLICO,203.0,293.0,182.0,171.0,149.0,155.0,189.0,234.0,251.0,304.0,287.0,307.0,
    11. LEGISLACIÓN ESPECIAL,2.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,
    12. OTRAS INFRACCIONES PENALES,103.0,104.0,150.0,111.0,150.0,165.0,121.0,82.0,65.0,51.0,68.0,41.0,
    TOTAL INFRACCIONES PENALES,13328.0,11715.0,13029.0,12349.0,12335.0,12793.0,14270.0,14193.0,15028.0,15837.0,15645.0,15670.0,
Córdoba,
    1. CONTRA LAS PERSONAS,2642.0,2527.0,2746.0,2676.0,2602.0,2575.0,4141.0,5243.0,4756.0,4958.0,5118.0,4947.0,
    1.1.-Homicidios dolosos/asesinatos,17.0,24.0,18.0,13.0,18.0,29.0,13.0,16.0,16.0,10.0,26.0,19.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,3.0,7.0,4.0,2.0,1.0,3.0,3.0,5.0,2.0,10.0,3.0,
    1.2.-Lesiones,1495.0,1310.0,1570.0,1535.0,1487.0,1555.0,1637.0,1610.0,1554.0,1763.0,1742.0,1592.0,
    1.3.-Malos tratos ámbito familiar,1049.0,1116.0,1083.0,1027.0,1021.0,949.0,1090.0,1047.0,963.0,888.0,943.0,862.0,
    1.4.-Otros contra las personas,81.0,77.0,75.0,101.0,76.0,42.0,1401.0,2570.0,2223.0,2297.0,2407.0,2474.0,
    2. CONTRA LA LIBERTAD,2494.0,2496.0,2497.0,2156.0,1964.0,1839.0,1143.0,512.0,478.0,529.0,529.0,482.0,
    2.1.-Malos tratos habituales en el ámbito familiar,260.0,229.0,232.0,230.0,224.0,188.0,180.0,219.0,231.0,272.0,256.0,267.0,
    2.2.-Otros contra la libertad,2234.0,2267.0,2265.0,1926.0,1740.0,1651.0,963.0,293.0,247.0,257.0,273.0,215.0,
    3. LIBERTAD SEXUAL,213.0,228.0,205.0,181.0,153.0,114.0,136.0,128.0,121.0,98.0,144.0,121.0,
    3.1.-Agresión sexual,36.0,45.0,34.0,35.0,23.0,13.0,19.0,19.0,26.0,17.0,24.0,22.0,
    3.2.-Agresión sexual con penetración,24.0,22.0,21.0,15.0,12.0,9.0,13.0,11.0,11.0,18.0,14.0,13.0,
    3.3.-Corrupción de menores o incapacitados,3.0,8.0,3.0,3.0,11.0,2.0,5.0,6.0,1.0,0.0,3.0,7.0,
    3.4.-Pornografía de menores,7.0,12.0,12.0,17.0,10.0,7.0,9.0,9.0,11.0,8.0,10.0,5.0,
    3.5.-Otros contra la libertad e indemnidad sexual,143.0,141.0,135.0,111.0,97.0,83.0,90.0,83.0,72.0,55.0,93.0,74.0,
    4. RELACIONES FAMILIARES,138.0,164.0,146.0,178.0,173.0,182.0,182.0,170.0,234.0,176.0,127.0,121.0,
    5. PATRIMONIO,14719.0,13718.0,16776.0,17775.0,17653.0,17064.0,17511.0,18504.0,20564.0,21181.0,20815.0,21368.0,
    5.1.-Hurtos,4505.0,4051.0,6284.0,6773.0,7232.0,7700.0,8099.0,8433.0,9471.0,9469.0,8961.0,9443.0,
    5.2.-Robos con fuerza en las cosas,2276.0,2086.0,3073.0,3516.0,4184.0,3708.0,3832.0,4557.0,5307.0,5534.0,5624.0,5950.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,677.0,546.0,960.0,952.0,1247.0,1132.0,1252.0,1515.0,1569.0,1734.0,2011.0,1979.0,
    5.2.2.-Robos con fuerza en viviendas,736.0,648.0,897.0,1122.0,1377.0,1189.0,1137.0,1224.0,1553.0,1545.0,1134.0,1339.0,
    5.2.3.-Robos con fuerza en establecimientos,260.0,380.0,526.0,580.0,649.0,495.0,439.0,536.0,655.0,713.0,666.0,711.0,
    5.3.-Robos con violencia o intimidación,273.0,286.0,487.0,541.0,565.0,494.0,509.0,561.0,857.0,962.0,969.0,810.0,
    5.3.1.-Robos con violencia en vía pública,177.0,187.0,351.0,363.0,369.0,333.0,371.0,423.0,627.0,729.0,741.0,633.0,
    5.3.2.-Robos con violencia en viviendas,32.0,37.0,32.0,52.0,28.0,33.0,46.0,32.0,69.0,54.0,42.0,25.0,
    5.3.3.-Robos con violencia en establecimientos,41.0,38.0,57.0,77.0,104.0,66.0,53.0,60.0,80.0,87.0,74.0,89.0,
    5.4.-Sustracción de vehículos,183.0,208.0,288.0,387.0,444.0,425.0,392.0,358.0,460.0,551.0,715.0,692.0,
    5.5.-Estafas,4301.0,4115.0,3205.0,2978.0,2128.0,1774.0,1628.0,1357.0,1044.0,972.0,964.0,806.0,
