
,Enero-diciembre 2022,
Araba/�lava,
    III. TOTAL INFRACCIONES PENALES,14049.0,
Albacete,
    III. TOTAL INFRACCIONES PENALES,15370.0,
Alicante/Alacant,
    III. TOTAL INFRACCIONES PENALES,94363.0,
Almer�a,
    III. TOTAL INFRACCIONES PENALES,29902.0,
�vila,
    III. TOTAL INFRACCIONES PENALES,5273.0,
Badajoz,
    III. TOTAL INFRACCIONES PENALES,21349.0,
Balears (Illes),
    III. TOTAL INFRACCIONES PENALES,75942.0,
Barcelona,
    III. TOTAL INFRACCIONES PENALES,362817.0,
Burgos,
    III. TOTAL INFRACCIONES PENALES,13378.0,
C�ceres,
    III. TOTAL INFRACCIONES PENALES,10761.0,
C�diz,
    III. TOTAL INFRACCIONES PENALES,56261.0,
Castell�n/Castell�,
    III. TOTAL INFRACCIONES PENALES,25772.0,
Ciudad Real,
    III. TOTAL INFRACCIONES PENALES,15935.0,
C�rdoba,
    III. TOTAL INFRACCIONES PENALES,28512.0,
Coru�a (A),
    III. TOTAL INFRACCIONES PENALES,42729.0,
Cuenca,
    III. TOTAL INFRACCIONES PENALES,7056.0,
Girona,
    III. TOTAL INFRACCIONES PENALES,47274.0,
Granada,
    III. TOTAL INFRACCIONES PENALES,37594.0,
Guadalajara,
    III. TOTAL INFRACCIONES PENALES,11714.0,
Gipuzkoa,
    III. TOTAL INFRACCIONES PENALES,29012.0,
Huelva,
    III. TOTAL INFRACCIONES PENALES,21349.0,
Huesca,
    III. TOTAL INFRACCIONES PENALES,7324.0,
Ja�n,
    III. TOTAL INFRACCIONES PENALES,19824.0,
Le�n,
    III. TOTAL INFRACCIONES PENALES,16495.0,
Lleida,
    III. TOTAL INFRACCIONES PENALES,21615.0,
Rioja (La),
    III. TOTAL INFRACCIONES PENALES,11797.0,
Lugo,
    III. TOTAL INFRACCIONES PENALES,8275.0,
Madrid,
    III. TOTAL INFRACCIONES PENALES,402961.0,
M�laga,
    III. TOTAL INFRACCIONES PENALES,91971.0,
Murcia,
    III. TOTAL INFRACCIONES PENALES,68678.0,
Navarra,
    III. TOTAL INFRACCIONES PENALES,33422.0,
Ourense,
    III. TOTAL INFRACCIONES PENALES,9392.0,
Asturias,
    III. TOTAL INFRACCIONES PENALES,32146.0,
Palencia,
    III. TOTAL INFRACCIONES PENALES,5061.0,
Palmas (Las),
    III. TOTAL INFRACCIONES PENALES,52954.0,
Pontevedra,
    III. TOTAL INFRACCIONES PENALES,34652.0,
Salamanca,
    III. TOTAL INFRACCIONES PENALES,12367.0,
Santa Cruz de Tenerife,
    III. TOTAL INFRACCIONES PENALES,42688.0,
Cantabria,
    III. TOTAL INFRACCIONES PENALES,23713.0,
Segovia,
    III. TOTAL INFRACCIONES PENALES,5401.0,
Sevilla,
    III. TOTAL INFRACCIONES PENALES,94127.0,
Soria,
    III. TOTAL INFRACCIONES PENALES,3403.0,
Tarragona,
    III. TOTAL INFRACCIONES PENALES,43313.0,
Teruel,
    III. TOTAL INFRACCIONES PENALES,3583.0,
Toledo,
    III. TOTAL INFRACCIONES PENALES,30916.0,
Valencia/Val�ncia,
    III. TOTAL INFRACCIONES PENALES,143090.0,
Valladolid,
    III. TOTAL INFRACCIONES PENALES,20363.0,
Bizkaia,
    III. TOTAL INFRACCIONES PENALES,58660.0,
Zamora,
    III. TOTAL INFRACCIONES PENALES,5390.0,
Zaragoza,
    III. TOTAL INFRACCIONES PENALES,37338.0,
Ceuta,
    III. TOTAL INFRACCIONES PENALES,3651.0,
Melilla,
    III. TOTAL INFRACCIONES PENALES,4314.0,
En el extranjero,
    III. TOTAL INFRACCIONES PENALES,10062.0,
